date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:14	2661/2661	---M--	200	added ('OK')	image/jpeg	etag:%2243417aa-a65-52a444c40a140%22	https://www.sordum.org/wp-content/uploads/2016/01/Mbr_or_Gpt_find_out-60x57.jpg	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/01/Mbr_or_Gpt_find_out-60x57.jpg	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:14	36902/36902	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:11%20GMT	https://www.sordum.org/downloads/?st-dns-lock	C:/My%20Web%20Sites/sordum/www.sordum.org/downloads/indexa5a7.html	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:15	5966/5966	---M--	200	added ('OK')	image/png	etag:%2242e1d05-174e-528fd82273dc0%22	https://www.sordum.org/wp-content/uploads/2014/03/copy_ip_01-60x57.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2014/03/copy_ip_01-60x57.png	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:15	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.e4.delayed	(from https://www.sordum.org/page/3/)
10:04:15	10300/10300	---M--	200	added ('OK')	image/jpeg	etag:%2243417c0-283c-52a444c40a140%22	https://www.sordum.org/wp-content/uploads/2016/01/Mbr_or_Gpt_find_out.jpg	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/01/Mbr_or_Gpt_find_out.jpg	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:16	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Jun%202019%2003:04:14%20GMT	https://www.sordum.org/page/3/google6e13bcb7e2a5b394.html	C:/My%20Web%20Sites/sordum/www.sordum.org/page/3/google6e13bcb7e2a5b394.html	(from https://www.sordum.org/page/3/)
10:04:16	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.e60db0.delayed	(from https://www.sordum.org/page/3/)
10:04:16	52830/52830	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:14%20GMT	https://www.sordum.org/9307/show-disk-partition-style-v1-0/	C:/My%20Web%20Sites/sordum/www.sordum.org/9307/show-disk-partition-style-v1-0/index.html	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:16	7805/7805	---M--	200	added ('OK')	image/png	etag:%224322ba5-1e7d-56de6b094ca00%22	https://www.sordum.org/wp-content/uploads/2018/06/bluetooth_version_finder.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2018/06/bluetooth_version_finder.png	(from https://www.sordum.org/page/3/)
10:04:17	9227/9227	---M--	200	added ('OK')	image/png	etag:%224322cb4-240b-528fd8b645a80%22	https://www.sordum.org/wp-content/uploads/2013/11/reduce_memory_01.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2013/11/reduce_memory_01.png	(from https://www.sordum.org/page/3/)
